Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
BSL,3.9,66,Public,Bhilwara + 11 more,1k-5k Employees (India),51
Aurus,3.0,66,Private,"Norwood,Massachusetts + 1 more",201-500 Employees (India),22
Edureka!,3.4,66,Private,"Bangalore,Karnataka + 4 more",201-500 Employees (India),11
Lakshmi Precisio...,4.2,66,Public,Rohtak + 2 more,501-1k Employees (India),50
SNS Group,4.4,66,Private,Riyadh + 4 more,201-500 Employees (India),21
Motherson Sumi E...,3.7,66,unknown,Noida + 7 more,201-500 Employees (India),unknown
Amity Software S...,3.9,66,Public,"Noida,Uttar Pradesh + 1 more",201-500 Employees (India),36
FAIRWAY ENTERPRI...,3.9,66,unknown,Krishnagiri + 5 more,51-200 Employees (India),unknown
Minanshika Softe...,4.4,66,Private,"Kolkata,West Bengal + 8 more",11-50 Employees (India),3
Gujarat Insectic...,4.2,66,unknown,Mumbai + 12 more,201-500 Employees (India),42
Fuji Electric,3.9,66,unknown,"Tokyo,Tokyo-to + 16 more",1k-5k Employees (India),99
Core Diagnostics,4.2,66,Private,"Delhi,NCT + 9 more",51-200 Employees (India),10
Elysium Pharmace...,3.1,66,Public,"Vadodara/Baroda,Gujarat + 1 more",51-200 Employees (India),26
YLG Salon & Spa,3.6,66,unknown,"Bangalore,Karnataka + 2 more",51-200 Employees (India),13
SRM Techsol,4.4,66,unknown,"San Mateo,California",51-200 Employees (India),18
Fare Labs,3.6,66,unknown,Gurugram + 2 more,51-200 Employees (India),23
TI Automotive,3.8,66,Private,Oxford + 10 more,51-200 Employees (India),22
St Stephens Hosp...,3.6,66,Private,New Delhi + 3 more,1k-5k Employees (India),137
Vivekananda Hosp...,4.1,66,Private,"Latur,Maharashtra + 15 more",51-200 Employees (India),56
HTL,4.2,66,Private,Chennai + 6 more,51-200 Employees (India),62
Piramal Realty,4.0,66,Private,"Mumbai,Maharashtra + 6 more",201-500 Employees (India),10
C2Lbiz Solutions,3.6,66,unknown,Mumbai + 2 more,51-200 Employees (India),15
Centillion Solut...,3.7,66,unknown,Bengaluru + 20 more,51-200 Employees (India),16
Adyard Abudhabi ...,4.6,66,unknown,Abu Dhabi + 5 more,1 Lakh+ Employees (India),26
Riello Power Ind...,3.9,66,Private,"Gurgaon/Gurugram,Haryana + 10 more",51-200 Employees (India),12
Nissin Abc Logis...,4.4,66,Private,Gurugram + 9 more,51-200 Employees (India),23
Solulab inc,4.4,66,Private,"Ahmedabad,Gujarat + 1 more",51-200 Employees (India),8
Bayer Zydus Phar...,3.9,66,Private,Thane + 19 more,501-1k Employees (India),11
Vcare Trichology,4.0,66,unknown,"Chennai,Tamil Nadu + 11 more",201-500 Employees (India),18
SKS Fasteners,3.6,66,Private,"Pune,Maharashtra",201-500 Employees (India),24
The George Teleg...,3.5,66,Private,"Kolkata,West Bengal + 13 more",51-200 Employees (India),102
Karnataka Power ...,4.2,66,unknown,Bengaluru + 6 more,10k-50k Employees (India),52
NEMHANS SOLUTION...,3.9,66,unknown,Bhubaneswar + 13 more,51-200 Employees (India),15
Om Metals Infrap...,3.8,66,Public,New Delhi + 7 more,51-200 Employees (India),51
Kasturba Medical...,4.4,66,unknown,Udupi + 4 more,501-1k Employees (India),69
Jaipur Vidyut Vi...,3.7,66,unknown,Jaipur + 10 more,11-50 Employees (India),unknown
Alliance India,4.1,66,Private,"New York City,New York + 13 more",51-200 Employees (India),23
Ellucian Higher ...,4.4,66,Private,"Reston,Virginia",501-1k Employees (India),11
Paramount,3.1,66,Private,Jalandhar + 19 more,501-1k Employees (India),unknown
Venture Lighting,3.8,66,Private,Twinsburg + 2 more,51-200 Employees (India),41
Savvysoft Techno...,4.4,66,Private,Chicago + 3 more,201-500 Employees (India),23
SAAB ENGINEERING,3.8,66,unknown,Bengaluru + 3 more,51-200 Employees (India),36
Haicheng Vivo Mo...,3.3,66,unknown,New Delhi + 2 more,unknown,unknown
BIL Infratech,3.9,66,Public,Mumbai,1k-5k Employees (Global),12
Galaxy Toyota,3.9,66,unknown,New Delhi + 1 more,501-1k Employees (Global),17
Aljaber Engineer...,3.8,66,Private,Doha + 4 more,5k-10k Employees (India),27
Srinivasa Sales ...,3.6,66,Private,Hyderabad + 7 more,1k-5k Employees (India),13
Tirupati Life Sc...,4.3,66,Private,Paonta Sahib + 4 more,11-50 Employees (India),15
Tata Motors Insu...,3.7,66,Private,Mumbai + 28 more,201-500 Employees (India),14
Cex Webuy Entert...,3.6,66,Private,"Mumbai,Maharastra + 9 more",1k-5k Employees (India),30
Tamilnadu Petrop...,4.0,66,Public,"Chennai,Tamil Nadu",201-500 Employees (India),38
Howe Engineering...,3.9,66,Private,Ahmedabad + 10 more,201-500 Employees (Global),56
Rotork Controls,4.0,66,Public,Bath + 8 more,201-500 Employees (India),65
BSC-C&C JV,4.2,66,unknown,Hyderabad + 11 more,unknown,50
Sun Business Sol...,4.0,66,Private,"Chennai,Tamil Nadu + 7 more",201-500 Employees (India),12
SAAB ENGINEERING,3.8,66,unknown,Bengaluru + 3 more,51-200 Employees (India),36
Thinksynq Soluti...,3.8,66,Private,"Chennai,Tamil Nadu + 2 more",11-50 Employees (India),15
Core Diagnostics,4.2,66,Private,"Delhi,NCT + 9 more",51-200 Employees (India),10
Moveinsync Techn...,4.0,66,Private,"Bangalore,Karnataka + 8 more",51-200 Employees (India),13
Grazitti Interac...,4.1,66,Private,"Panchkula,Haryana + 2 more",1k-5k Employees (India),14
Transact Global,3.8,66,Private,Bengaluru + 1 more,201-500 Employees (India),14
BSL,3.9,66,Public,Bhilwara + 11 more,1k-5k Employees (India),51
Portescap,4.0,66,Private,West Chester + 2 more,201-500 Employees (India),91
Bizmatics India,4.0,66,Private,"San Jose,California + 3 more",201-500 Employees (India),20
AppsDaily,3.2,66,Private,"Mumbai,Maharashtra + 23 more",201-500 Employees (India),14
TI Automotive,3.8,66,Private,Oxford + 10 more,51-200 Employees (India),22
MakroCare,3.7,66,Private,"Princeton,New Jersey",201-500 Employees (India),26
St Stephens Hosp...,3.6,66,Private,New Delhi + 3 more,1k-5k Employees (India),137
Vcare Trichology,4.0,66,unknown,"Chennai,Tamil Nadu + 11 more",201-500 Employees (India),18
FAIRWAY ENTERPRI...,3.9,66,unknown,Krishnagiri + 5 more,51-200 Employees (India),unknown
SNS Group,4.4,66,Private,Riyadh + 4 more,201-500 Employees (India),21
Riello Power Ind...,3.9,66,Private,"Gurgaon/Gurugram,Haryana + 10 more",51-200 Employees (India),12
AppsDaily,3.2,66,Private,"Mumbai,Maharashtra + 23 more",201-500 Employees (India),14
Grazitti Interac...,4.1,66,Private,"Panchkula,Haryana + 2 more",1k-5k Employees (India),14
Cynoteck Technol...,4.8,66,LLC,"Dehradun,Uttarakhand",51-200 Employees (India),14
SHRI LAKSHMI STE...,4.1,66,Private,"Bangalore/Bengaluru,Karnataka + 12 more",501-1k Employees (India),36
TresVista,3.1,66,Private,"Mumbai,Maharashtra + 3 more",501-1k Employees (India),16
IT By Design,3.5,66,Private,Jersey City + 4 more,201-500 Employees (India),19
Goldmedal Electr...,4.0,66,Private,"Mumbai,Maharashtra + 17 more",201-500 Employees (India),43
Avinash Group,4.3,66,Private,Raipur + 2 more,1k-5k Employees (India),26
Netsmartz Infote...,3.4,66,Private,Pittsford + 2 more,501-1k Employees (India),23
Amagi Media Labs,4.0,66,Private,"Bangalore/Bengaluru,Karnataka + 3 more",201-500 Employees (India),14
Xotik Frujus,4.1,66,Private,"Mumbai,Maharashtra + 17 more",201-500 Employees (India),15
Biotech Vision C...,3.9,66,Private,"Bodakdev,Gujarat + 11 more",201-500 Employees (India),23
Descon,4.3,365,unknown,Lahore + 10 more,51-200 Employees (India),45
Intuit,4.0,67,Private,"Mountain View,California + 2 more",1k-5k Employees (India),17
Peekay Steel Cas...,4.2,65,Private,Calicut + 2 more,201-500 Employees (India),31
Kumaran Systems,4.0,65,Private,"Toronto,Ontario + 2 more",201-500 Employees (India),32
Precot Meridian,4.2,65,Public,"Coimbatore,Tamil Nadu + 5 more",1k-5k Employees (India),60
WHSmith,4.0,65,Private,Swindon + 12 more,201-500 Employees (India),230
Ars Traffic And ...,3.3,65,unknown,Nassaulaan + 9 more,51-200 Employees (India),25
Cico Technologie...,3.9,65,Private,New Delhi + 19 more,201-500 Employees (India),92
Shree Shubham Lo...,4.3,65,Public,"Mumbai,Maharashtra + 20 more",51-200 Employees (India),15
Gates Unitta Ind...,4.3,65,Private,Singapore + 9 more,201-500 Employees (India),111
Eqic Dies & Moul...,4.0,65,Private,Hyderabad,201-500 Employees (India),34
G Plast,3.5,65,Private,Coimbatore,51-200 Employees (India),38
Optimus Global S...,4.3,65,Public,"Chennai,Tamil Nadu + 3 more",51-200 Employees (India),20
Nutek,3.8,65,Public,Gurgaon + 20 more,11-50 Employees (India),30
Enka Insaat Ve S...,4.5,65,unknown,Istanbul + 6 more,201-500 Employees (India),65
Hero Future Ener...,4.3,65,Private,"Delhi,NCT + 2 more",51-200 Employees (India),10
Soothe Healthcar...,3.9,65,Private,"Noida,Uttar Pradesh + 15 more",201-500 Employees (India),10
OPTCL,4.6,65,unknown,Bhubaneswar + 8 more,unknown,18
IQ City Medical ...,4.0,65,Private,Durgapur,11-50 Employees (India),10
Faces Cosmetics,4.3,65,unknown,"Gurgaon,Haryana + 15 more",51-200 Employees (India),48
Swami Vivekanand...,3.7,65,Private,"Meerut,Uttar Pradesh",501-1k Employees (India),14
Siesta Hospitali...,3.5,65,Private,"Bengaluru,Karnataka + 6 more",1k-5k Employees (India),16
Colorbar Usa,4.2,65,Private,"Delhi/NCR,New Delhi + 24 more",unknown,18
Room to Read,4.2,65,Private,"San Francisco,California + 16 more",201-500 Employees (India),22
PGIMER,3.8,65,Private,"Chandigarh,Chandigarh + 4 more",5k-10k Employees (Global),59
JL Morison India,4.0,65,Public,Mumbai + 17 more,201-500 Employees (India),88
WinWire Technolo...,4.1,65,Private,"Hyderabad/Secunderabad,Telangana",501-1k Employees (India),15
IAP Company,3.1,65,Private,"Gurgaon/Gurugram,Haryana + 17 more",1k-5k Employees (Global),24
IIT Kharagpur,4.3,65,Private,Kharagpur + 5 more,1k-5k Employees (Global),71
ThinkPalm Techno...,4.2,65,Private,"Kochi/Cochin,Kerala + 3 more",201-500 Employees (India),12
Medical Trust Ho...,4.3,65,Private,"Kochi/Cochin,Kerala + 14 more",501-1k Employees (India),49
Haldor Topsoe,4.2,65,Private,Kongens Lyngby + 1 more,51-200 Employees (India),82
Teamglobal Logis...,4.0,65,Private,Mumbai + 13 more,201-500 Employees (India),17
Pioneer Design,3.9,65,Private,Bengaluru + 7 more,51-200 Employees (India),13
Atlantis The Pal...,4.9,65,Private,Dubai + 4 more,501-1k Employees (India),14
Zenith Software,4.2,65,Private,Banglore + 8 more,201-500 Employees (India),26
ION Trading,3.3,65,Private,London + 3 more,501-1k Employees (India),23
MIDLAND CREDIT M...,4.2,65,Private,San Diego + 1 more,1k-5k Employees (India),69
Government of Od...,4.0,65,Private,Bhubaneswar + 13 more,1k-5k Employees (Global),unknown
Frog CellSat,4.5,65,Private,Noida + 7 more,201-500 Employees (India),29
HealthAsyst,3.9,65,Private,"Bangalore/Bengaluru,Karnataka + 1 more",201-500 Employees (India),23
ZenQ,4.0,65,Private,"Hyderabad/Secunderabad,Telangana",501-1k Employees (India),19
Link Intime,3.8,65,Private,"Mumbai,Maharashtra + 4 more",201-500 Employees (India),23
Deepak Foundatio...,3.8,65,NGO/NPO,"Vadodara/Baroda,Gujarat + 11 more",201-500 Employees (India),40
Mando Softtech,4.3,65,unknown,Gurugram,501-1k Employees (India),17
FM LOGISTIC,3.9,65,Private,Lorraine + 14 more,1k-5k Employees (India),55
Renaissance Hote...,4.6,65,Private,Bethesda + 5 more,201-500 Employees (India),33
Farbe Firma,4.5,65,Private,"Mumbai,Maharashtra",201-500 Employees (India),5
VISPL,4.1,65,unknown,"Noida,Uttar Pradesh + 4 more",10k-50k Employees (India),14
VASTA BIO-INFORM...,3.6,65,unknown,New York + 4 more,501-1k Employees (India),unknown
Medeor,3.3,65,Public,"Delhi/NCR,Delhi + 6 more",501-1k Employees (India),18
ADNOC Distributi...,3.6,65,unknown,Dubai + 6 more,1 Lakh+ Employees (India),49
Synmac Consultan...,3.4,65,unknown,"Chennai,Tamil Nadu + 2 more",1-10 Employees (India),6
Collman Services,3.8,65,unknown,Chennai + 8 more,201-500 Employees (India),unknown
Upstox,4.0,65,Private,"Mumbai,Maharashtra + 15 more",1k-5k Employees (India),11
SDNA Global,4.8,65,Private,London + 8 more,11-50 Employees (Global),12
KHY ELECTRONIC,3.9,65,unknown,Noida + 3 more,11-50 Employees (India),unknown
AVON TUBETECH,3.0,65,Private,Palwal + 4 more,51-200 Employees (India),25
INDOASIAN,4.1,65,Private,"Noida,Uttar Pradesh + 14 more",1k-5k Employees (Global),64
Axpress Logistic...,3.5,65,Private,"Gurgaon/Gurugram,Haryana + 17 more",51-200 Employees (India),21
Ubs Investment B...,3.6,65,unknown,Pune + 2 more,50k-1 Lakh Employees (India),unknown
Bl International,3.1,65,Private,Noida + 6 more,201-500 Employees (India),31
Fluidline Engine...,3.2,65,Private,Kanpur + 7 more,51-200 Employees (India),34
Reynolds,4.5,65,unknown,Minnesota + 16 more,501-1k Employees (India),77
MGM Medical Coll...,4.4,65,Private,Jamshedpur + 8 more,501-1k Employees (India),61
Gera Development...,4.2,65,Private,"Pune,Maharashtra + 1 more",201-500 Employees (India),52
BVC Logistics,4.3,65,Private,Mumbai + 19 more,1k-5k Employees (India),62
Seashell Logisti...,3.8,65,Private,"Navi Mumbai,Maharashtra + 11 more",51-200 Employees (India),15
CC India,4.0,65,Private,Bangalore + 15 more,51-200 Employees (India),55
Paushak,3.4,65,Public,"Vadodara/Baroda,Gujarat + 2 more",51-200 Employees (India),50
Surya Hospital,3.6,65,Private,"Hosur,Tamil Nadu + 14 more",501-1k Employees (India),30
Windcare India,3.6,65,Private,Gudimangalam + 6 more,201-500 Employees (India),21
Diversey,4.3,65,unknown,"Fort Mill,South Carolina + 17 more",51-200 Employees (India),99
Jawaharlal Nehru...,4.1,65,Private,"Ajmer,Rajasthan + 9 more",201-500 Employees (Global),57
Microgen Hygiene,2.7,65,Private,Mumbai + 10 more,51-200 Employees (India),15
Indo Schottle Au...,3.6,65,unknown,Pune + 2 more,501-1k Employees (India),36
Adda 247,3.5,65,Private,"Gurgaon,Haryana + 3 more",51-200 Employees (India),6
Signutra,3.8,65,unknown,Wilmington + 10 more,51-200 Employees (India),32
Swami Vivekanand...,3.7,65,Private,"Meerut,Uttar Pradesh",501-1k Employees (India),14
Siesta Hospitali...,3.5,65,Private,"Bengaluru,Karnataka + 6 more",1k-5k Employees (India),16
Colorbar Usa,4.2,65,Private,"Delhi/NCR,New Delhi + 24 more",unknown,18
MIDLAND CREDIT M...,4.2,65,Private,San Diego + 1 more,1k-5k Employees (India),69
Menzies Aviation...,4.1,65,Private,Bangalore + 1 more,501-1k Employees (India),14
Axpress Logistic...,3.5,65,Private,"Gurgaon/Gurugram,Haryana + 17 more",51-200 Employees (India),21
Enka Insaat Ve S...,4.5,65,unknown,Istanbul + 6 more,201-500 Employees (India),65
Fluidline Engine...,3.2,65,Private,Kanpur + 7 more,51-200 Employees (India),34
MGM Medical Coll...,4.4,65,Private,Jamshedpur + 8 more,501-1k Employees (India),61
Chettinad Health...,3.3,65,unknown,Chennai + 2 more,unknown,17
Atlantis The Pal...,4.9,65,Private,Dubai + 4 more,501-1k Employees (India),14
Kumaran Systems,4.0,65,Private,"Toronto,Ontario + 2 more",201-500 Employees (India),32
Gera Development...,4.2,65,Private,"Pune,Maharashtra + 1 more",201-500 Employees (India),52
Room to Read,4.2,65,Private,"San Francisco,California + 16 more",201-500 Employees (India),22
JL Morison India,4.0,65,Public,Mumbai + 17 more,201-500 Employees (India),88
CC India,4.0,65,Private,Bangalore + 15 more,51-200 Employees (India),55
Simhapuri Energy,3.7,65,Public,Hyderabad + 2 more,201-500 Employees (India),17
Sri Mookambika I...,4.6,65,Private,"MADURAI,Tamil Nadu + 1 more",501-1k Employees (India),16
Peekay Steel Cas...,4.2,65,Private,Calicut + 2 more,201-500 Employees (India),31
HealthAsyst,3.9,65,Private,"Bangalore/Bengaluru,Karnataka + 1 more",201-500 Employees (India),23
ZenQ,4.0,65,Private,"Hyderabad/Secunderabad,Telangana",501-1k Employees (India),19
Farnek Averial,4.0,65,unknown,Dubai + 3 more,5k-10k Employees (Global),42
VISPL,4.1,65,unknown,"Noida,Uttar Pradesh + 4 more",10k-50k Employees (India),14
Mando Softtech,4.3,65,unknown,Gurugram,501-1k Employees (India),17
Adda 247,3.5,65,Private,"Gurgaon,Haryana + 3 more",51-200 Employees (India),6
Signutra,3.8,65,unknown,Wilmington + 10 more,51-200 Employees (India),32
SDNA Global,4.8,65,Private,London + 8 more,11-50 Employees (Global),12
Farbe Firma,4.5,65,Private,"Mumbai,Maharashtra",201-500 Employees (India),5
Renaissance Hote...,4.6,65,Private,Bethesda + 5 more,201-500 Employees (India),33
FM LOGISTIC,3.9,65,Private,Lorraine + 14 more,1k-5k Employees (India),55
Synmac Consultan...,3.4,65,unknown,"Chennai,Tamil Nadu + 2 more",1-10 Employees (India),6
ADNOC Distributi...,3.6,65,unknown,Dubai + 6 more,1 Lakh+ Employees (India),49
KHY ELECTRONIC,3.9,65,unknown,Noida + 3 more,11-50 Employees (India),unknown
Upstox,4.0,65,Private,"Mumbai,Maharashtra + 15 more",1k-5k Employees (India),11
Collman Services,3.8,65,unknown,Chennai + 8 more,201-500 Employees (India),unknown
Medeor,3.3,65,Public,"Delhi/NCR,Delhi + 6 more",501-1k Employees (India),18
VASTA BIO-INFORM...,3.6,65,unknown,New York + 4 more,501-1k Employees (India),unknown
AVYAIT,3.7,65,unknown,"Hyderabad,Telangana",51-200 Employees (India),2
Moody's Analytic...,3.0,65,unknown,Gurugram + 2 more,1k-5k Employees (Global),20
Mount Talent Con...,2.7,65,Private,Noida + 4 more,51-200 Employees (India),15
Rostfrei Steels,4.0,65,Private,"Delhi/NCR,Delhi + 4 more",201-500 Employees (India),18
Ugro Capital,4.0,65,Public,Mumbai + 25 more,201-500 Employees (India),29
PathPartner Tech...,4.2,65,Private,"Bangalore/Bengaluru,Karnataka",201-500 Employees (India),16
ATPI,4.0,65,Private,London + 3 more,51-200 Employees (India),20
Toothsi,2.3,65,unknown,"Mumbai,Maharashtra + 8 more",501-1k Employees (India),4
Valenta BPO Solu...,4.0,65,Private,Brisbane + 4 more,11-50 Employees (India),11
Reliance Group,4.0,8500,Private,Mumbai + 19 more,1 Lakh+ Employees (India),56
Kirloskar Techno...,4.4,64,unknown,New Delhi + 15 more,51-200 Employees (India),29
Ambuja Realty,3.9,64,Private,Kolkata + 7 more,1k-5k Employees (India),17
YCH Logistics,4.0,64,Private,Singapore + 15 more,51-200 Employees (India),67
New India Co-Op ...,3.8,64,Public,Mumbai + 4 more,11-50 Employees (India),54
Strabag,4.2,64,unknown,Vienna + 9 more,51-200 Employees (India),187
Prince Aly Khan ...,3.3,64,Private,"Mumbai,Maharashtra",11-50 Employees (India),77
Atcis Technology,4.5,64,Private,Kolkata + 2 more,1k-5k Employees (India),9
Degustibus Hospi...,4.0,64,Private,"Mumbai,Maharashtra + 2 more",201-500 Employees (India),26
Endress Hauser,4.1,64,Private,Reinach + 8 more,201-500 Employees (India),69
Plr Projects,4.3,64,unknown,Hyderabad + 10 more,201-500 Employees (India),42
Virchow Laborato...,3.7,64,unknown,Hyderabad + 3 more,201-500 Employees (India),41
Unitech Power Tr...,3.7,64,Public,"Gurgaon/Gurugram,Haryana + 12 more",201-500 Employees (India),27
Rhydburg Pharmac...,3.2,64,Public,"Delhi/NCR,Delhi + 2 more",51-200 Employees (India),35
Sms Envocare,3.9,64,unknown,Nagpur + 10 more,51-200 Employees (India),19
Microchip Techno...,4.2,64,Private,"Chandler,Arizona + 3 more",1k-5k Employees (India),33
Government of Gu...,4.1,64,Public,Gandhinagar + 18 more,11-50 Employees (India),62
Gulf Ashley Moto...,4.1,64,Private,Jharkhand + 13 more,1k-5k Employees (India),18
OSB India,3.2,64,Private,"Bangalore/Bengaluru,Karnataka + 2 more",201-500 Employees (India),18
O3 Hire,4.3,64,Other,Ludhiana + 8 more,51-200 Employees (India),6
CADS Software,4.0,64,Private,"Chennai,Tamil Nadu + 2 more",201-500 Employees (India),26
Trimed Solutions...,3.7,64,Private,"Hyderabad/Secunderabad,Telangana + 6 more",201-500 Employees (India),10
KMC HOSPITAL,4.2,64,Private,"Coimbatore,Tamil Nadu + 11 more",501-1k Employees (India),40
Sai Estate consu...,2.6,64,Private,"Mumbai,Maharashtra + 14 more",51-200 Employees (India),13
Chennai Ford,4.3,64,Private,Chennai + 5 more,1k-5k Employees (India),26
Sohan Lal Commod...,4.4,64,unknown,Delhi + 10 more,501-1k Employees (India),51
UpMan Placements,4.7,64,unknown,Ahmedabad + 10 more,51-200 Employees (India),20
Primeone Workfor...,4.0,64,Private,Bhopal + 16 more,51-200 Employees (India),17
DECON,3.0,64,unknown,Gurugram + 18 more,11-50 Employees (India),29
Atlas Cycles,4.4,64,Public,Sahibabad + 3 more,501-1k Employees (India),71
Life Care Hospit...,4.3,64,Private,"Nairobi,Nairobi + 21 more",501-1k Employees (Global),38
Jumbo Finvest In...,4.4,64,Private,Jaipur + 17 more,501-1k Employees (India),24
Ufi Filters,3.3,64,Private,"Nogarole Rocca,Verona + 6 more",201-500 Employees (India),51
Infiniminds,3.9,64,unknown,Bengaluru + 17 more,51-200 Employees (India),8
Edujobs Academy,4.2,64,unknown,Kolkata + 17 more,51-200 Employees (India),9
Digital Minds So...,3.8,64,unknown,Hyderabad,51-200 Employees (India),10
Kazstroy Service...,3.5,64,Private,Almaty + 10 more,10k-50k Employees (Global),21
Kirtane & Pandit,4.2,64,LLP,Pune + 3 more,51-200 Employees (India),66
Ms Agarwal Found...,3.9,64,unknown,Secunderabad + 3 more,51-200 Employees (India),32
Navigant Technol...,2.8,64,Private,New Delhi + 5 more,501-1k Employees (India),19
Nirmal Industria...,4.0,64,Private,"Mumbai,Maharashtra + 11 more",51-200 Employees (India),49
HTC,4.3,64,Private,Taoyuan + 24 more,1-10 Employees (India),25
PCI,3.8,64,Private,New Delhi + 17 more,201-500 Employees (India),74
Voltamp Transfor...,3.6,64,Public,"Vadodara/Baroda,Gujarat + 8 more",501-1k Employees (India),59
Phoenix Marketci...,3.9,64,Private,Bangalore + 4 more,51-200 Employees (India),11
Trinity Mobility,3.3,64,Private,"Bangalore,Karnataka + 4 more",201-500 Employees (India),11
Thakral Services...,3.1,64,Private,Bangalore + 9 more,501-1k Employees (India),39
Brahmaputra Crac...,4.4,64,Private,Guwahati + 8 more,501-1k Employees (India),15
Smile Electronic...,3.0,64,Public,"Bangalore/Bengaluru,Karnataka",201-500 Employees (India),24
General Industri...,3.8,64,Private,Pune + 1 more,201-500 Employees (India),50
Keys Hotels,4.6,64,Private,"Mumbai,Maharashtra + 15 more",11-50 Employees (India),16
Cybernetik Techn...,3.9,64,Private,Pune + 4 more,51-200 Employees (India),35
Okinawa Autotech,3.5,64,Private,"Gurgaon,Haryana + 7 more",51-200 Employees (India),6
TGB Banquets and...,4.1,64,Public,"Ahmedabad,Gujarat + 5 more",201-500 Employees (India),33
Hager Electro,4.3,64,unknown,Pune + 9 more,201-500 Employees (India),25
Adm Agro Industr...,3.8,64,Private,"Decatur,Illinois + 15 more",501-1k Employees (India),120
Shemrock Group o...,4.2,64,Private,New Delhi + 28 more,201-500 Employees (India),33
Protiviti Consul...,3.3,64,Private,"Menlo Park,California + 6 more",1k-5k Employees (India),20
Apcotex Industri...,3.7,64,Public,"Mumbai,Maharashtra + 7 more",201-500 Employees (India),42
Inthree Access,3.8,64,Private,Chennai + 13 more,51-200 Employees (India),9
Indel Money,4.1,64,Private,"Ernakulam,Kerala + 23 more",51-200 Employees (India),20
Bsa Corporation,4.2,64,Public,Sawardari + 10 more,10k-50k Employees (India),22
Foundation To Ed...,3.9,64,NGO/NPO,Mumbai + 13 more,1k-5k Employees (India),15
SKS POWER GENERA...,3.7,64,Public,Mumbai + 12 more,201-500 Employees (India),14
Jasubhai Enginee...,3.8,64,Private,Mumbai + 7 more,51-200 Employees (India),55
Datacomp Web Tec...,3.6,64,Private,"Mumbai,Maharashtra + 8 more",201-500 Employees (India),37
otsuka chemical ...,4.4,64,unknown,Jaipur + 5 more,201-500 Employees (India),unknown
ABES Engineering...,3.5,64,Private,Ghaziabad + 6 more,201-500 Employees (India),23
Al Gihaz Holding,4.5,64,Private,Riyadh + 5 more,1k-5k Employees (Global),47
Indiana Ophthalm...,4.9,64,unknown,unknown,51-200 Employees (India),unknown
Porus Laboratori...,4.4,64,Private,Hyderabad + 1 more,201-500 Employees (India),28
TNEB,4.1,64,Private,Chennai + 15 more,5k-10k Employees (Global),65
Maple Digital Te...,3.6,64,Private,"Mumbai,Maharashtra + 5 more",51-200 Employees (India),13
IKF Technologies,3.9,64,Public,"Kolkata,West Bengal",51-200 Employees (India),22
Kazstroy Service...,3.5,64,Private,Almaty + 10 more,10k-50k Employees (Global),21
Kirtane & Pandit,4.2,64,LLP,Pune + 3 more,51-200 Employees (India),66
Degustibus Hospi...,4.0,64,Private,"Mumbai,Maharashtra + 2 more",201-500 Employees (India),26
Ms Agarwal Found...,3.9,64,unknown,Secunderabad + 3 more,51-200 Employees (India),32
KMC HOSPITAL,4.2,64,Private,"Coimbatore,Tamil Nadu + 11 more",501-1k Employees (India),40
OSB India,3.2,64,Private,"Bangalore/Bengaluru,Karnataka + 2 more",201-500 Employees (India),18
Gemini Edibles &...,4.4,64,Private,"Hyderabad,Telangana + 5 more",501-1k Employees (India),12
UpMan Placements,4.7,64,unknown,Ahmedabad + 10 more,51-200 Employees (India),20
Brahmaputra Crac...,4.4,64,Private,Guwahati + 8 more,501-1k Employees (India),15
Chennai Ford,4.3,64,Private,Chennai + 5 more,1k-5k Employees (India),26
Anjani Technopla...,3.3,64,Private,"Greater Noida,Uttar Pradesh + 1 more",51-200 Employees (India),34
Sohan Lal Commod...,4.4,64,unknown,Delhi + 10 more,501-1k Employees (India),51
ITL Industries,3.6,64,Public,Indore + 4 more,51-200 Employees (India),37
Indel Money,4.1,64,Private,"Ernakulam,Kerala + 23 more",51-200 Employees (India),20
Bsa Corporation,4.2,64,Public,Sawardari + 10 more,10k-50k Employees (India),22
Hager Electro,4.3,64,unknown,Pune + 9 more,201-500 Employees (India),25
Protiviti Consul...,3.3,64,Private,"Menlo Park,California + 6 more",1k-5k Employees (India),20
Apcotex Industri...,3.7,64,Public,"Mumbai,Maharashtra + 7 more",201-500 Employees (India),42
Inthree Access,3.8,64,Private,Chennai + 13 more,51-200 Employees (India),9
Okinawa Autotech,3.5,64,Private,"Gurgaon,Haryana + 7 more",51-200 Employees (India),6
Jasubhai Enginee...,3.8,64,Private,Mumbai + 7 more,51-200 Employees (India),55
General Industri...,3.8,64,Private,Pune + 1 more,201-500 Employees (India),50
Government of Gu...,4.1,64,Public,Gandhinagar + 18 more,11-50 Employees (India),62
SRIT,3.9,64,Private,"Bangalore/Bengaluru,Karnataka + 14 more",501-1k Employees (India),23
Infiniminds,3.9,64,unknown,Bengaluru + 17 more,51-200 Employees (India),8
Edujobs Academy,4.2,64,unknown,Kolkata + 17 more,51-200 Employees (India),9
Techjays,4.6,64,unknown,"Santa Cruz,California",51-200 Employees (India),4
HGS Healthcare,4.2,64,unknown,Bengaluru/Bangalore + 5 more,1k-5k Employees (India),unknown
Arteria Technolo...,2.5,64,Private,"Bangalore/Bengaluru,Karnataka + 2 more",201-500 Employees (India),15
CAMP Systems,4.1,64,Private,Merrimack + 3 more,201-500 Employees (India),54
