Company,Rating(5),Review_count,Domain,Location,No. of Employees,Years old
Wipro Enterprise...,3.8,4900,unknown,Bangalore + 65 more,1 Lakh+ Employees (India),77
Arvind Group,4.1,2300,Public,"Ahmedabad,Gujrat + 128 more",10k-50k Employees (India),91
Gati kwe,4.1,2000,Private,"Hyderabad/Secunderabad,Telangana + 143 more",5k-10k Employees (India),10
Muthoot Finance,3.6,2000,Public,"Kochi/Cochin,Kerala + 381 more",10k-50k Employees (India),83
Automatic Data P...,4.3,2000,unknown,New Jersey + 9 more,1k-5k Employees (India),73
VE Commercial Ve...,4.0,2000,Private,"Gurgaon/Gurugram,Haryana + 102 more",1k-5k Employees (India),14
NatWest Group,4.1,2200,Government,Chennai + 18 more,10k-50k Employees (India),unknown
Varun Beverages,4.0,1900,Public,"Gurgaon/Gurugram,Haryana + 184 more",10k-50k Employees (India),27
Atos,3.9,6800,Private,"Vilnius,Vilniaus Apskritis + 31 more",10k-50k Employees (India),25
Shoppers Stop,4.3,1900,Public,"Mumbai,Maharashtra + 53 more",5k-10k Employees (India),31
Macleods Pharmac...,4.0,1900,Public,"Mumbai,Maharashtra + 73 more",5k-10k Employees (India),36
Macleods Pharmac...,4.0,1900,Public,"Mumbai,Maharashtra + 73 more",5k-10k Employees (India),36
Alembic Pharmace...,4.1,1900,Public,"Vadodara/Baroda,Gujrat + 116 more",10k-50k Employees (India),115
BigBasket,4.2,2000,Private,"Bangalore,Karnataka + 72 more",5k-10k Employees (India),11
Indian Air Force,4.6,1900,Private,"New Delhi,Delhi + 97 more",1 Lakh+ Employees (India),90
Suzlon Group,4.2,1900,Public,"Pune,Maharashtra + 84 more",5k-10k Employees (India),27
Optum,4.1,1900,Private,Minnesota + 19 more,10k-50k Employees (India),45
Virtusa Consulti...,3.8,1900,Private,"Southborough,Massachusetts + 22 more",5k-10k Employees (India),26
American Express,4.4,1900,Private,"New York City,New York + 34 more",10k-50k Employees (India),172
Glenmark Pharmac...,4.2,1900,Public,"Mumbai,Maharashtra + 106 more",10k-50k Employees (India),45
CMS IT Services,3.2,1900,Private,"Bangalore,Karnataka + 114 more",5k-10k Employees (India),8
Bel,4.2,1900,Private,"Bangalore/Bengaluru,Karnataka + 29 more",5k-10k Employees (India),68
ABB Group,4.1,1900,Public,Zurich + 85 more,10k-50k Employees (India),21
McDonald's,4.3,1900,Private,"Chicago,Illinois + 117 more",5k-10k Employees (India),67
DTDC Express,4.0,1900,Private,"Bangalore/Bengaluru,Karnataka + 185 more",5k-10k Employees (India),32
Swiggy,4.2,2100,Private,"Bangalore,Karnataka + 129 more",10k-50k Employees (India),8
Randstad,4.1,1900,Private,"Chennai,Tamil Nadu + 200 more",1k-5k Employees (India),30
Deutsche Bank,4.3,2100,Private,Frankfurt + 29 more,10k-50k Employees (India),152
Alkem Laboratori...,4.1,1900,Public,"Mumbai,Maharashtra + 115 more",10k-50k Employees (India),49
